start_date,end_date,Name,Insert Date,Duration,blocked_days,month_year
2025-04-20,2025-04-21,Airbnb (Not available),2025-02-10T17:41:00.000+00:00,1,1,2025-04
2025-04-27,2025-04-28,Airbnb (Not available),2025-02-10T17:41:00.000+00:00,1,1,2025-04
2025-05-20,2025-05-21,Airbnb (Not available),2025-02-10T17:41:00.000+00:00,1,1,2025-05
2025-02-17,2025-02-18,Airbnb (Not available),2025-02-10T17:41:00.000+00:00,1,1,2025-02
2025-02-08,2025-02-09,Airbnb (Not available),2025-02-10T17:41:00.000+00:00,1,1,2025-02
2025-06-01,2025-06-02,Airbnb (Not available),2025-02-10T17:41:00.000+00:00,1,1,2025-06
2025-05-27,2025-05-28,Airbnb (Not available),2025-02-10T17:41:00.000+00:00,1,1,2025-05
2025-02-28,2025-03-01,Airbnb (Not available),2025-02-10T17:41:00.000+00:00,1,1,2025-02
2025-03-26,2025-03-27,Airbnb (Not available),2025-02-10T17:41:00.000+00:00,1,1,2025-03
2025-02-25,2025-02-26,Airbnb (Not available),2025-02-10T17:41:00.000+00:00,1,1,2025-02
2025-04-24,2025-04-25,Airbnb (Not available),2025-02-10T17:40:00.000+00:00,1,1,2025-04
2025-04-04,2025-04-05,Airbnb (Not available),2025-02-10T17:40:00.000+00:00,1,1,2025-04
2025-02-13,2025-02-14,Airbnb (Not available),2025-02-10T17:40:00.000+00:00,1,1,2025-02
2025-03-04,2025-03-05,Airbnb (Not available),2025-02-10T17:40:00.000+00:00,1,1,2025-03
